,Suburb,Hospitals
0,Alexandra,1
1,Altona,1
2,Apollo Bay,1
3,Ararat,1
4,Bacchus Marsh,1
5,Bairnsdale,1
6,Ballarat,2
7,Ballarat Central,1
8,Beaufort,1
9,Beechworth,1
10,Benalla,1
11,Bendigo,3
12,Berwick,3
13,Birchip,1
14,Blackburn South,1
15,Boort,1
16,Box Hill,3
17,Bright,1
18,Brighton,2
19,Broadmeadows,1
20,Bundoora,3
21,Camberwell,2
22,Camperdown,1
23,Canterbury,1
24,Carlton,1
25,Casterton,1
26,Castlemaine,1
27,Caulfield,1
28,Caulfield North,1
29,Caulfield South,1
30,Charlton,1
31,Cheltenham,2
32,Clayton,2
33,Cobram,1
34,Coburg,1
35,Cohuna,1
36,Colac,1
37,Coleraine,1
38,Corryong,1
39,Craigieburn,1
40,Cranbourne,1
41,Creswick,1
42,Dandenong,3
43,Daylesford,1
44,Deer Park,1
45,Dimboola,1
46,Donald,1
47,Donvale,1
48,Dunolly,1
49,East Bentleigh,1
50,East Melboune,1
51,East Melbourne,6
52,Echuca,1
53,Edenhope,1
54,Elsternwick,2
55,Epping,1
56,Fairfield,1
57,Fitzroy,2
58,Footscray,7
59,Forest Hill,1
60,Foster,1
61,Frankston,5
62,Geelong,2
63,Glen Waverley,1
64,Hamilton,1
65,Hampton,1
66,Hawthorn,2
67,Healesville,1
68,Heathcote,1
69,Heidelberg,3
70,Heidelberg Heights,1
71,Heidelberg West,1
72,Heywood,1
73,Hopetoun,1
74,Horsham,1
75,Inglewood,1
76,Ivanhoe,1
77,Jeparit,1
78,Kaniva,1
79,Kerang,1
80,Kew,4
81,Kilmore,1
82,Koo Wee Rup,1
83,Korumburra,1
84,Kyabram,1
85,Kyneton,1
86,Leongatha,1
87,Lilydale,1
88,Lorne,1
89,Maffra,1
90,Maldon,1
91,Malvern,1
92,Malvern East,1
93,Manangatang,1
94,Mansfield,1
95,Maryborough,1
96,Melbourne,5
97,Melton West,1
98,Mildura,2
99,Mitcham,1
100,Moorabbin,2
101,Mornington,3
102,Morwell,1
103,Mount Waverley,1
104,Mt Beauty,1
105,Mulgrave,1
106,Myrtleford,1
107,Nathalia,1
108,Nhill,1
109,Noble Park,2
110,North Geelong,1
111,Numurkah,1
112,Nyah West,1
113,Omeo,1
114,Orbost,1
115,Ouyen,1
116,Parkdale,1
117,Parkville,6
118,Pascoe Vale,1
119,Penshurst,1
120,Port Fairy,1
121,Portland,1
122,Prahran,3
123,Rainbow,1
124,Richmond,3
125,Ringwood,1
126,Ringwood East,1
127,Robinvale,1
128,Rochester,1
129,Rosebud,1
130,Rosebud West,1
131,Rupanyup,1
132,Rushworth,1
133,Sale,1
134,Sandringham,2
135,Sea Lake,1
136,Seymour,1
137,Shepparton,2
138,Skipton,1
139,St Albans,1
140,St Albans Park,1
141,St Arnaud,1
142,St Kilda,1
143,Stawell,1
144,Sunbury,1
145,Swan Hill,1
146,Sydenham,1
147,Tallangatta,1
148,Tatura,1
149,Templestowe Lower,1
150,Terang,1
151,Timboon,1
152,Traralgon,1
153,Upper Ferntree Gully,1
154,Wangaratta,2
155,Wantirna,2
156,Warracknabeal,1
157,Warragul,1
158,Warrnambool,2
159,Waurn Ponds,1
160,Wendouree,1
161,Werribee,2
162,West Essendon,1
163,Willaura,1
164,Williamstown,1
165,Winchelsea,1
166,Windsor,2
167,Wodonga,2
168,Wonthaggi,1
169,Wycheproof,1
170,Yarram,1
171,Yarrawonga,1
172,Yea,1
