,Suburb,2021_population
1,EAST MELBOURNE,4962
3,SOUTHBANK,8505
4,DOCKLANDS,15942
5,FOOTSCRAY,17420
6,SEDDON,4802
10,WEST FOOTSCRAY,11885
11,YARRAVILLE,15653
12,NEWPORT,14766
14,SPOTSWOOD,2109
15,WILLIAMSTOWN,12654
17,ALTONA,13292
21,SUNSHINE,9576
27,ST ALBANS,20850
33,DEER PARK,22629
42,HOPPERS CROSSING,18663
46,WERRIBEE,15826
48,FLEMINGTON,7519
49,KENSINGTON,10874
50,ASCOT VALE,15351
53,KEILOR EAST,6754
54,AVONDALE HEIGHTS,27645
55,KEILOR,1842
58,SYDENHAM,11866
63,MOONEE PONDS,16406
65,ESSENDON,24874
72,GLADSTONE PARK,6816
74,TULLAMARINE,6630
75,PASCOE VALE,17527
76,PASCOE VALE SOUTH,10461
79,OAK PARK,7857
80,BROADMEADOWS,13243
86,NORTH MELBOURNE,23617
87,PARKVILLE,7446
88,CARLTON,17198
89,CARLTON NORTH,8097
92,BRUNSWICK,26306
94,COBURG,26859
95,COBURG NORTH,8513
97,FAWKNER,14193
103,ROXBURGH PARK,24433
104,FITZROY,10609
105,COLLINGWOOD,9348
106,ABBOTSFORD,9262
107,CLIFTON HILL,9980
108,FITZROY NORTH,12955
109,NORTHCOTE,25657
110,THORNBURY,19152
113,RESERVOIR,27930
114,THOMASTOWN,20211
115,LALOR,23663
117,ALPHINGTON,2626
118,FAIRFIELD,6445
119,IVANHOE,12561
120,IVANHOE EAST,1300
123,HEIDELBERG WEST,3508
124,MILL PARK,17647
125,BUNDOORA,6239
128,HEIDELBERG,8380
136,GREENSBOROUGH,19947
141,MONTMORENCY,6663
142,ELTHAM,15088
144,HURSTBRIDGE,3573
145,KEW,24878
147,BALWYN,14800
150,BULLEEN,11371
151,TEMPLESTOWE,17105
153,DONCASTER,25172
155,DONVALE,16406
159,BURNLEY,601
161,RICHMOND,30652
162,HAWTHORN,22188
164,CAMBERWELL,21512
165,BURWOOD,12543
166,CANTERBURY,7198
167,MONT ALBERT,10262
168,SURREY HILLS,8891
169,BOX HILL,19101
173,BLACKBURN,18367
176,FOREST HILL,10866
177,NUNAWADING,12522
178,MITCHAM,16935
179,VERMONT,11083
181,RINGWOOD,18919
192,LILYDALE,19783
193,SOUTH YARRA,21581
194,TOORAK,13098
195,ARMADALE,9436
197,MALVERN,3948
199,MALVERN EAST,22221
200,GLEN IRIS,16040
201,ASHBURTON,8025
203,CHADSTONE,12283
204,MOUNT WAVERLEY,19475
205,GLEN WAVERLEY,21899
207,BURWOOD EAST,10778
208,WANTIRNA,14450
210,BAYSWATER,12707
218,CAULFIELD,8448
220,CARNEGIE,18803
222,MURRUMBEENA,9471
225,HUGHESDALE,7644
227,OAKLEIGH,9099
230,CLAYTON,20142
234,MULGRAVE,20078
235,SPRINGVALE,22537
241,DANDENONG,30798
242,DANDENONG NORTH,22839
245,ROWVILLE,15540
246,SCORESBY,6274
248,PRAHRAN,15007
249,WINDSOR,4452
250,ST KILDA,26204
252,ELWOOD,15041
253,ELSTERNWICK,10970
256,BRIGHTON,23053
257,BRIGHTON EAST,16695
258,HAMPTON,13328
263,CHELTENHAM,24355
264,BEAUMARIS,14124
266,MENTONE,13304
267,ASPENDALE,9108
269,MORDIALLOC,10204
270,PARKDALE,11224
272,CHELSEA,6125
274,CARRUM,6922
276,SEAFORD,17359
277,FRANKSTON,23908
280,CARRUM DOWNS,22262
282,BENTLEIGH,16231
285,SOUTH MELBOURNE,3824
286,ALBERT PARK,11310
287,MIDDLE PARK,4712
288,PORT MELBOURNE,1472
289,LARA,18765
292,CORIO,14840
299,NORTH GEELONG,3147
301,BELMONT,14994
302,GROVEDALE,21944
310,GEELONG WEST,12007
311,HERNE HILL,3694
316,GEELONG,8856
317,NEWTOWN,10406
328,BARWON HEADS,8770
332,TORQUAY,21334
352,HAMILTON,10284
355,PORTLAND,10165
367,MELTON,12320
381,ALFREDTON,12434
401,WENDOUREE,15314
402,DELACOMBE,3990
403,SEBASTOPOL,9887
404,BUNINYONG,3616
414,HORSHAM,16944
419,SUNBURY,25062
427,CASTLEMAINE,5642
447,BENDIGO,10946
449,FLORA HILL,2826
453,NORTH BENDIGO,3203
464,GOLDEN SQUARE,14580
465,KANGAROO FLAT,6480
471,ECHUCA,14766
476,SWAN HILL,11169
480,SHEPPARTON,23307
490,SEYMOUR,6545
492,BENALLA,10750
497,WODONGA,22915
542,BERWICK,23187
545,PAKENHAM,33639
547,WARRAGUL,23080
549,MOE,15693
550,NEWBOROUGH,1569
552,MORWELL,14393
555,TRARALGON,28735
557,SALE,15259
561,MAFFRA,14693
564,BAIRNSDALE,8941
579,HASTINGS,10908
594,FLINDERS,1720
596,MORNINGTON,25909
598,DROMANA,5384
611,PORTSEA,1665
621,HAMPTON PARK,26384
622,CRANBOURNE,21580
