,Suburb,traffic_count
0,Abbotsford,2
1,Alphington,1
2,Altona,2
3,Armadale,2
4,Ascot Vale,1
5,Ashburton,2
6,Aspendale,1
7,Balaclava,1
8,Baxter,1
9,Bayswater,1
10,Beaconsfield,1
11,Belgrave,1
12,Bentleigh,2
13,Berwick,1
14,Bittern,1
15,Blackburn,2
16,Bonbeach,1
17,Boronia,1
18,Box Hill,1
19,Brighton,4
20,Broadmeadows,1
21,Brunswick,3
22,Burnley,1
23,Camberwell,5
24,Canterbury,1
25,Carnegie,1
26,Carrum,1
27,Caulfield East,1
28,Chelsea,1
29,Cheltenham,2
30,Clayton,1
31,Clayton South,1
32,Clifton Hill,1
33,Coburg,2
34,Coburg North,2
35,Coolaroo,2
36,Craigieburn,1
37,Cranbourne,1
38,Cranbourne North,1
39,Crib Point,3
40,Croydon,1
41,Dandenong,1
42,Diamond Creek,1
43,Diggers Rest,1
44,Eaglemont,1
45,East Melbourne,1
46,Edithvale,1
47,Elsternwick,1
48,Eltham,1
49,Epping,1
50,Essendon,2
51,Fairfield,1
52,Fawkner,1
53,Ferntree Gully,1
54,Fitzroy North,1
55,Flemington,1
56,Footscray,2
57,Frankston,2
58,Glen Huntly,1
59,Glen Iris,3
60,Glen Waverley,2
61,Glenroy,3
62,Greensborough,1
63,Hallam,1
64,Hampton,1
65,Hastings,1
66,Hawthorn,2
67,Hawthorn East,1
68,Heathmont,1
69,Heidelberg,1
70,Highett,1
71,Hoppers Crossing,1
72,Hughesdale,1
73,Hurstbridge,1
74,Ivanhoe,2
75,Kensington,2
76,Kooyong,1
77,Lalor,1
78,Laverton,2
79,Lilydale,1
80,Lynbrook,1
81,Macleod,1
82,Malvern,2
83,Malvern East,3
84,Mckinnon,1
85,Melbourne City,5
86,Mentone,1
87,Mernda,1
88,Mitcham,1
89,Mont Albert,1
90,Montmorency,1
91,Moonee Ponds,1
92,Moorabbin,1
93,Mooroolbark,1
94,Mordialloc,1
95,Mount Waverley,2
96,Murrumbeena,1
97,Narre Warren,1
98,Newport,1
99,Noble Park,2
100,North Melbourne,2
101,Northcote,5
102,Nunawading,1
103,Oak Park,1
104,Oakleigh,2
105,Officer,1
106,Ormond,1
107,Pakenham,2
108,Parkdale,1
109,Parkville,1
110,Pascoe Vale,1
111,Prahran,1
112,Preston,2
113,Reservoir,3
114,Richmond,4
115,Ringwood,2
116,Ringwood East,1
117,Ripponlea,1
118,Rosanna,1
119,Roxburgh Park,1
120,Sandringham,1
121,Seaford,2
122,Seaholme,1
123,Seddon,1
124,Somerville,1
125,South Morang,3
126,South Yarra,2
127,Spotswood,1
128,Springvale,2
129,St Albans,3
130,Strathmore,1
131,Sunbury,1
132,Sunshine,1
133,Sunshine North,1
134,Surrey Hills,2
135,Sydenham,1
136,Tecoma,1
137,Thomastown,2
138,Thornbury,1
139,Toorak,1
140,Tyabb,1
141,Upper Ferntree Gully,1
142,Upwey,1
143,Watsonia,1
144,Wattle Glen,1
145,Werribee,1
146,West Footscray,2
147,West Melbourne,1
148,Williams Landing,1
149,Williamstown,3
150,Windsor,1
151,Yarraville,1
