,Suburb,traffic_sum
0,Abbotsford,498500
1,Alphington,109600
2,Altona,233450
3,Armadale,423950
4,Ascot Vale,202200
5,Ashburton,146550
6,Aspendale,84050
7,Balaclava,416700
8,Baxter,1850
9,Bayswater,213500
10,Beaconsfield,109600
11,Belgrave,143400
12,Bentleigh,426800
13,Berwick,361200
14,Bittern,5350
15,Blackburn,686200
16,Bonbeach,71450
17,Boronia,243500
18,Box Hill,1192700
19,Brighton,814400
20,Broadmeadows,395750
21,Brunswick,450650
22,Burnley,303500
23,Camberwell,914000
24,Canterbury,122400
25,Carnegie,460850
26,Carrum,157950
27,Caulfield East,1370650
28,Chelsea,186300
29,Cheltenham,510800
30,Clayton,796650
31,Clayton South,339550
32,Clifton Hill,347000
33,Coburg,236750
34,Coburg North,243200
35,Coolaroo,252450
36,Craigieburn,560500
37,Cranbourne,407700
38,Cranbourne North,126750
39,Crib Point,14550
40,Croydon,311100
41,Dandenong,1159900
42,Diamond Creek,72850
43,Diggers Rest,59350
44,Eaglemont,50550
45,East Melbourne,358650
46,Edithvale,104700
47,Elsternwick,385100
48,Eltham,206900
49,Epping,417650
50,Essendon,688850
51,Fairfield,233400
52,Fawkner,66600
53,Ferntree Gully,162600
54,Fitzroy North,69400
55,Flemington,302600
56,Footscray,2137800
57,Frankston,580650
58,Glen Huntly,335400
59,Glen Iris,382250
60,Glen Waverley,791800
61,Glenroy,640650
62,Greensborough,254900
63,Hallam,219250
64,Hampton,229200
65,Hastings,10500
66,Hawthorn,993050
67,Hawthorn East,278650
68,Heathmont,96050
69,Heidelberg,343900
70,Highett,194000
71,Hoppers Crossing,349850
72,Hughesdale,250500
73,Hurstbridge,50350
74,Ivanhoe,326900
75,Kensington,339850
76,Kooyong,102400
77,Lalor,243550
78,Laverton,666500
79,Lilydale,244300
80,Lynbrook,174550
81,Macleod,204450
82,Malvern,516350
83,Malvern East,435800
84,Mckinnon,173200
85,Melbourne City,20882800
86,Mentone,362550
87,Mernda,327900
88,Mitcham,401050
89,Mont Albert,84300
90,Montmorency,103450
91,Moonee Ponds,362450
92,Moorabbin,300700
93,Mooroolbark,197000
94,Mordialloc,339550
95,Mount Waverley,438200
96,Murrumbeena,318600
97,Narre Warren,309300
98,Newport,497600
99,Noble Park,672150
100,North Melbourne,196000
101,Northcote,564150
102,Nunawading,390550
103,Oak Park,218300
104,Oakleigh,1319150
105,Officer,62250
106,Ormond,265150
107,Pakenham,473550
108,Parkdale,161900
109,Parkville,117850
110,Pascoe Vale,239250
111,Prahran,473550
112,Preston,487300
113,Reservoir,682500
114,Richmond,2096450
115,Ringwood,1038000
116,Ringwood East,140600
117,Ripponlea,244200
118,Rosanna,239200
119,Roxburgh Park,240050
120,Sandringham,350400
121,Seaford,247200
122,Seaholme,39900
123,Seddon,168900
124,Somerville,4950
125,South Morang,465800
126,South Yarra,1871300
127,Spotswood,122500
128,Springvale,933100
129,St Albans,1083350
130,Strathmore,130750
131,Sunbury,301950
132,Sunshine,896350
133,Sunshine North,204500
134,Surrey Hills,325950
135,Sydenham,528500
136,Tecoma,30300
137,Thomastown,522500
138,Thornbury,190250
139,Toorak,99050
140,Tyabb,2700
141,Upper Ferntree Gully,95700
142,Upwey,61700
143,Watsonia,242150
144,Wattle Glen,16600
145,Werribee,351350
146,West Footscray,404150
147,West Melbourne,669700
148,Williams Landing,411450
149,Williamstown,267750
150,Windsor,334200
151,Yarraville,368300
